"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed","jp_trip_desc","jp_trip_desc_symbol","jp_office_id"
"1ゆめタウン線","1_土日祝","1_土日祝_07時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_07時25分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_07時45分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_08時15分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_10時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_18時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_19時00分_系統51211","5　ゆめタウン佐賀（ほほえみ館・佐賀清和学園前 経由）","","","","1ゆめタウン線(51211)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_10時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_11時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_12時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_13時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_14時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_15時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_16時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_17時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_18時15分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_19時12分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_20時12分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_平日","1_平日_21時12分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_10時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_11時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_12時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_13時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_14時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_15時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_16時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_17時20分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_18時15分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
"1ゆめタウン線","1_土日祝","1_土日祝_19時12分_系統51212","1　佐賀駅バスセンター（清和学園前 経由）","","","","1ゆめタウン線(51212)","","0","","",""
